seed,v3_boundary,v31_boundary,nn81_boundary,improvement_v31_v3,gap_nn81_v31
100001,0.6066866764266292,0.775050646719651,0.8577080327080328,0.16836397029302175,0.08265738598838179
100002,0.6253210754415718,0.7762402562088343,0.8678190698959131,0.15091918076726252,0.09157881368707876
100003,0.6158083313646744,0.8141978827462699,0.8923021060275963,0.19838955138159553,0.07810422328132638
100004,0.5642601398162876,0.7510364221017974,0.8308845255821229,0.1867762822855098,0.07984810348032545
100005,0.597275903690998,0.7639341355849566,0.8353365688253143,0.16665823189395856,0.07140243324035767
100006,0.6012121212121212,0.7717684446692011,0.7264857265945627,0.17055632345707994,-0.04528271807463846
100007,0.5758744632505012,0.7582134960089074,0.8407729123804941,0.18233903275840624,0.0825594163715867
100008,0.6020602577633292,0.7969264484504235,0.9103005324072871,0.19486619068709432,0.11337408395686366
100009,0.5321078206958126,0.8031400966183574,0.9027997220247461,0.27103227592254475,0.09965962540638873
100010,0.5715810990169171,0.7804255771582117,0.8608055290421017,0.2088444781412946,0.08037995188389002
100011,0.5743643064854264,0.7691634745579287,0.8857382225945737,0.1947991680725023,0.11657474803664503
100012,0.580695438465412,0.7440428713858425,0.8579279257288386,0.1633474329204304,0.11388505434299612
100013,0.6317528247536165,0.808970986523427,0.9014715886621678,0.17721816176981053,0.09250060213874078
100014,0.6219802989689026,0.8293855334776051,0.8742612648749833,0.20740523450870252,0.044875731397378216
100015,0.5159593023255814,0.6876889675329502,0.7654371936634661,0.17172966520736876,0.07774822613051591
100016,0.5889427856812831,0.7915521011540655,0.8672955189072131,0.20260931547278238,0.07574341775314763
100017,0.5757501363884343,0.8299860149393822,0.8944289311839378,0.25423587855094787,0.06444291624455567
100018,0.6664703687613005,0.8557882751347649,0.895674972446626,0.18931790637346435,0.03988669731186112
100019,0.5592254934787184,0.8046744954546373,0.8394345213277519,0.2454490019759189,0.03476002587311455
100020,0.568476119880843,0.7955594553958828,0.8393492903204453,0.22708333551503979,0.043789834924562454
